population,pop2024,pop2023,pop2022,pop2021,pop2020,pop2019,pop2018,pop2017,pop2016,pop2015,pop2014,pop2013,pop2012,pop2011,pop2010,pop2009,pop2008,pop2007,pop2006,pop2005,pop2004,pop2003,pop2002,pop2001,pop2000,growth,region,city,usps,state,countyFips,county,densityMi,slug,areaMi,lng,lat,type,rank
496,496,488,478,471,464,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,502,494.5453646,487.0907291,479.6360937,494058.5815,464.7268228,457.2721873,449.8175519,442.3629164,434.908281,427.4536456,0.01639,North,Hampton,FL,Florida,12007,Bradford County,434,florida/hampton,1.144,-82.1388,29.8641,City,857
492,492,485,480,472,464,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,441,434.4512067,427.9024134,421.3536201,494037.8048,408.2560336,401.7072403,395.158447,388.6096537,382.0608604,375.5120671,0.01443,North,Glen St. Mary,FL,Florida,12003,Baker County,1074,florida/glen-st-mary,0.458,-82.1603,30.2752,Town,858
480,480,466,448,435.5,423,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,445,438.3918072,431.7836145,425.1754217,494039.1672,411.9590361,405.3508434,398.7426506,392.1344578,385.526265,378.9180723,0.03004,Northwest,Sopchoppy,FL,Florida,12129,Wakulla County,286,florida/sopchoppy,1.678,-84.4854,30.0599,City,859
476,476,504,531,570.5,610,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,858,845.2588103,832.5176207,819.776431,494179.8352,794.2940517,781.552862,768.8116724,756.0704827,743.329293,730.5881034,-0.05556,Southeast,Stacey Street,FL,Florida,12099,Palm Beach County,3967,florida/stacey-street,0.12,-80.1239,26.6978,CDP,860
473,473,469,466,460.5,455,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,382,376.3273491,370.6546982,364.9820474,494017.7094,353.6367456,347.9640947,342.2914439,336.618793,330.9461421,325.2734912,0.00853,Northwest,Cinco Bayou,FL,Florida,12091,Okaloosa County,2718,florida/cinco-bayou,0.174,-86.6096,30.4222,Town,861
459,459,459,457,457.5,458,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,634,624.5851815,615.1703631,605.7555446,494103.5407,586.9259077,577.5110892,568.0962707,558.6814522,549.2666338,539.8518153,0,Northwest,Greensboro,FL,Florida,12039,Gadsden County,200,florida/greensboro,2.297,-84.7229,30.571,Town,862
449,449,443,437,455,473,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,367,361.5500972,356.1001944,350.6502916,494012.6004,339.750486,334.3005832,328.8506804,323.4007776,317.9508748,312.5009719,0.01354,Southeast,Canal Point,FL,Florida,12099,Palm Beach County,323,florida/canal-point,1.392,-80.6222,26.8626,CDP,863
433,433,427,421,460.5,500,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,347,341.8470946,336.6941892,331.5412839,494005.7884,321.2354731,316.0825677,310.9296624,305.776757,300.6238516,295.4709462,0.01405,Northwest,Garcon Point,FL,Florida,12113,Santa Rosa County,228,florida/garcon-point,1.897,-87.0859,30.4763,CDP,864
433,433,426,406,405,404,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,401,395.0452016,389.0904031,383.1356047,494024.1808,371.2260078,365.2712094,359.316411,353.3616125,347.4068141,341.4520157,0.01643,Southeast,Jupiter Inlet Colony,FL,Florida,12085,Martin County,2794,florida/jupiter-inlet-colony,0.155,-80.0752,26.948,Town,865
433,433,402,403,355.5,308,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,357,351.6985959,346.3971918,341.0957877,494009.1944,330.4929795,325.1915755,319.8901714,314.5887673,309.2873632,303.9859591,0.07711,Southeast,Ocean Breeze,FL,Florida,12085,Martin County,2624,florida/ocean-breeze,0.165,-80.2257,27.241,Town,866
432,432,429,421,420.5,420,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,405,398.9858021,392.9716042,386.9574062,494025.5432,374.9290104,368.9148125,362.9006146,356.8864167,350.8722187,344.8580208,0.00699,Southeast,Manalapan,FL,Florida,12099,Palm Beach County,966,florida/manalapan,0.447,-80.0402,26.5666,Town,867
425,425,470,514,525.5,537,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1047,1031.452185,1015.904369,1000.356554,494244.2087,969.2609232,953.7131078,938.1652925,922.6174771,907.0696618,891.5218464,-0.09574,Northwest,Steinhatchee,FL,Florida,12123,Taylor County,64,florida/steinhatchee,6.601,-83.3771,29.687,CDP,868
394,394,410,425,544,663,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,608,598.9712782,589.9425564,580.9138346,494094.6851,562.8563909,553.8276691,544.7989473,535.7702255,526.7415037,517.7127819,-0.03902,Northwest,Roeville,FL,Florida,12113,Santa Rosa County,91,florida/roeville,4.326,-86.9922,30.6851,CDP,869
393,393,384,378,367,356,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,401,395.0452016,389.0904031,383.1356047,494024.1808,371.2260078,365.2712094,359.316411,353.3616125,347.4068141,341.4520157,0.02344,Southeast,Everglades,FL,Florida,12021,Collier County,430,florida/everglades,0.915,-81.3865,25.8578,City,870
393,393,392,390,345.5,301,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,372,366.4758478,360.9516957,355.4275435,494014.3034,344.3792392,338.855087,333.3309349,327.8067827,322.2826305,316.7584784,0.00255,Northwest,Munson,FL,Florida,12091,Okaloosa County,16,florida/munson,25.181,-86.8897,30.8291,CDP,871
392,392,389,388,383,378,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,402,396.0303517,390.0607034,384.0910551,494024.5214,372.1517585,366.1821102,360.2124619,354.2428136,348.2731653,342.303517,0.00771,North,Worthington Springs,FL,Florida,12125,Union County,409,florida/worthington-springs,0.959,-82.4085,29.9336,Town,872
